Id,Taxon,BO1,BO2,BO3,BO4,BO5,BO6,B1L,B1W,B2L,B2W,B3L,B3W,B4L,B4W,B5L,B5W,B6L,B6W,Lat
N.ar_NC_154,N.ar,0,0,1.265,1.223,1.334,0.601,0,0,0,0,1.813,0.874,1.631,0.883,2.05,0.893,1.141,0.61,35.5
N.ar_NC_155,N.ar,0,0.262,1.339,1.375,1.64,0.384,0,0,0.693,0.471,2.318,0.546,2.131,0.673,2.346,0.801,1.153,0.427,35.5
N.ar_NC_24,N.ar,0,0.407,1.793,1.679,2,0.506,0,0,0.875,0.561,2.183,0.969,1.946,0.986,2.132,1.1,1.124,0.524,35.5
N.ar_NC_25,N.ar,0,0.409,2.057,2.276,2.719,0.761,0,0,0.847,0.685,2.087,1.185,2.289,1.295,2.587,1.447,1.284,0.752,35.5
N.ar_NC_26,N.ar,0,0.6,1.89,2.306,2.955,0.78,0,0,1.04,0.723,2.132,1.203,2.61,1.089,2.754,1.234,1.415,0.77,35.5
N.ar_NC_27,N.ar,0,0.128,1.382,2.691,3.003,0.749,0,0,0.294,0.34,2.191,0.799,2.763,1.261,2.895,1.386,1.558,0.59,35.5
N.ar_NC_28,N.ar,0,0.14,0.849,1.46,1.683,0.579,0,0,0.583,0.264,1.755,0.647,2.301,0.706,2.461,0.839,1.579,0.36,35.5
N.ar_NC_29,N.ar,0,0,1.719,2.346,2.336,0.504,0,0,0,0,2.297,0.959,2.767,0.983,2.863,0.891,1.186,0.565,35.5
N.ar_NC_30,N.ar,0,0,1.636,2.501,3.189,1.01,0,0,0,0,1.755,1.164,2.48,1.325,2.624,1.498,1.716,0.682,35.5
N.ar_NJ_1,N.ar,0,0.247,1.593,1.935,2.166,0.887,0,0,0.538,0.548,2.007,1.041,2.096,1.151,2.048,1.232,1.384,0.796,40
N.ar_NJ_10,N.ar,0,0.323,2.006,2.364,2.074,0.529,0,0,0.802,0.523,2.002,1.277,2.217,1.372,2.558,1.395,1.522,0.656,40
N.ar_NJ_11,N.ar,0,0.203,2.192,2.409,2.6,0.684,0,0,0.869,0.467,2.155,1.134,2.28,1.312,2.118,1.185,1.122,0.618,40
N.ar_NJ_12,N.ar,0,0.332,1.862,2.083,2.577,0.782,0,0,0.68,0.443,2.696,1.117,2.234,1.431,2.357,1.353,1.25,0.702,40
N.ar_NJ_13,N.ar,0,0.332,1.319,1.609,1.692,0.592,0,0,0.787,0.553,1.655,0.962,1.775,0.978,1.707,1.041,1.189,0.58,40
N.ar_NJ_2,N.ar,0,0.237,1.36,1.822,1.73,0.5,0,0,0.53,0.492,1.767,0.95,1.912,1.069,2.005,1.149,1.128,0.57,40
N.ar_NJ_3,N.ar,0,0.195,1.901,2.017,2.05,0.719,0,0,0.827,0.425,2.498,0.85,2.353,1.16,2.343,1.026,1.221,0.762,40
N.ar_NJ_4,N.ar,0,0.362,2.121,2.848,2.824,0.987,0,0,0.785,0.588,2.392,1.091,2.554,1.277,2.511,1.338,1.492,0.79,40
N.ar_NJ_5,N.ar,0,0,1.545,1.98,2.443,0.661,0,0,0,0,1.723,1.131,2.112,1.183,2.238,1.373,1.31,0.58,40
N.ar_NJ_6,N.ar,0,0,1.597,1.595,1.582,0.629,0,0,0,0,2.039,1.018,1.881,1.102,1.811,1.169,1.198,0.639,40
N.ar_NJ_7,N.ar,0,0.335,1.249,1.732,2.195,0.542,0,0,0.785,0.55,1.853,0.859,2.103,1.006,2.279,1.231,1.278,0.653,40
N.ar_NJ_8,N.ar,0,0.115,2.126,2.305,2.382,0.878,0,0,0.453,0.385,2.165,1.137,2.33,1.32,2.556,1.207,1.367,0.817,40
N.ar_NJ_9,N.ar,0,0.113,0.898,1.455,1.383,0.464,0,0,0.424,0.311,1.758,0.392,1.876,1.005,1.873,0.936,1.144,0.57,40
N.ar_TX_60,N.ar,0,0,1.487,2.157,2.116,0.415,0,0,0,0,2.501,0.668,2.647,0.874,3.084,0.867,1.619,0.309,30.5
N.ar_TX_61,N.ar,0,0.28,1.339,2.371,2.42,0.652,0,0,0.851,0.353,1.956,0.798,2.52,1.149,2.613,1.075,1.458,0.483,30.5
N.ar_TX_62,N.ar,0,0,2.565,2.727,2.807,0.795,0,0,0,0,3.449,0.968,3.618,0.746,3.941,0.903,2.196,0.203,30.5
N.ar_TX_63,N.ar,0,0.468,2.118,2.005,2.575,0.45,0,0,1.005,0.461,2.822,0.957,2.591,0.917,3.04,1.011,1.378,0.291,30.5
N.ar_TX_64,N.ar,0,0,1.756,2.086,2.594,0.454,0,0,0,0,2.728,0.812,3.072,0.598,3.295,0.759,1.786,0.291,30.5
N.ar_TX_65,N.ar,0,0,1.391,1.483,2.477,1.042,0,0,0,0,1.925,0.83,2.135,0.768,3.098,0.999,1.941,0.696,30.5
N.ar_VA_14,N.ar,0,0.545,2.6,2.7,3.701,1.232,0,0,1.053,0.714,2.288,1.393,2.613,1.202,2.972,1.325,1.858,0.882,37
N.ar_VA_15,N.ar,0,0.366,1.64,1.814,2.45,1.045,0,0,0.881,0.561,1.775,1.188,1.969,1.187,2.434,1.205,1.499,0.893,37
N.ar_VA_17,N.ar,0,0,1.748,2.105,2.89,0.847,0,0,0,0,1.919,1.239,2.306,1.119,3.079,1.11,1.734,0.548,37
N.ar_VA_18,N.ar,0,0,1.887,1.843,1.891,0.613,0,0,0,0,2.561,1.06,2.095,0.988,2.062,0.984,1.424,0.581,37
N.ar_VA_19,N.ar,0,0,2.481,2.728,3.303,1.331,0,0,0,0,2.461,1.21,2.563,1.329,2.903,1.365,2.045,0.881,37
N.ar_VA_20,N.ar,0,0.956,2.299,2.458,2.793,0.835,0,0,1.328,0.939,2.375,1.234,2.568,1.178,2.516,1.397,1.192,0.901,37
N.ar_VA_21,N.ar,0,0,1.775,1.649,1.942,0.748,0,0,0,0,2.172,0.994,1.84,1.137,1.889,1.234,1.391,0.59,37
N.ar_VA_22,N.ar,0,0,1.16,1.47,2.174,0.523,0,0,0,0,1.743,0.882,2.1,0.738,2.473,0.94,1.104,0.557,37
N.ar_VA_23,N.ar,0,0.195,1.44,1.485,1.449,0.23,0,0,0.589,0.419,1.797,0.998,1.702,0.936,1.582,1.166,0.495,0.473,37
N.fr_NC_1,N.fr,0.34,0.543,2.42,2.431,2.494,1.075,0.663,0.536,0.895,0.741,1.639,1.339,2.079,1.476,2.389,1.516,1.129,0.835,35.5
N.fr_NC_100,N.fr,0,0.702,2.226,2.115,2.612,0.899,0,0,1.195,0.717,1.996,1.295,2.042,1.253,2.374,1.444,1.307,0.793,35.5
N.fr_NC_4269,N.fr,0.59,1.189,2.248,2.712,2.946,1.469,1,0.77,1.41,1.04,2.03,1.35,2.16,1.6,2.2,1.83,1.98,1.07,35.5
N.fr_NC_4274,N.fr,0.177,0.905,2.636,3.026,2.884,1.417,0.61,0.34,1.14,1.048,2.087,1.514,2.484,1.584,2.02,1.695,1.729,1.097,35.5
N.fr_NC_4279,N.fr,0,0.716,3.184,2.887,3.18,1.313,0,0,1.175,0.847,2.46,1.599,2.055,1.649,2.154,1.641,1.807,0.908,35.5
N.fr_NC_4284,N.fr,0.081,0.517,3.113,2.775,2.604,0.998,0.333,0.258,0.898,0.778,2.265,1.413,2.289,1.413,2.289,1.608,2.089,1.546,35.5
N.fr_NC_4289,N.fr,0.13,0.998,2.669,2.498,3.1,1.352,0.556,0.28,1.445,0.756,1.916,1.609,2.212,1.435,2.746,1.492,1.595,0.828,35.5
N.fr_NC_4294,N.fr,0.59,1.504,3.19,2.799,3.293,1.211,1.036,0.737,1.658,1.148,2.194,1.745,2.12,1.596,2.515,1.784,1.749,1.002,35.5
N.fr_NC_4298,N.fr,0.474,1.099,2.68,2.907,2.728,1.021,0.954,0.514,1.27,1.06,2.354,1.513,2.41,1.623,1.995,1.774,1.486,0.852,35.5
N.fr_NC_4305,N.fr,0.751,1.462,2.702,2.715,3.535,1.982,1.005,0.771,1.649,1.076,2.117,1.576,2.079,1.55,2.392,1.748,1.935,1.188,35.5
N.fr_NC_4310,N.fr,0.442,0.833,2.803,2.552,2.649,1.077,0.783,0.626,0.988,0.914,1.782,1.94,2.085,1.489,2.084,1.482,1.353,0.888,35.5
N.fr_NC_4314,N.fr,0.596,1.619,2.942,3.249,3.268,1.346,0.909,0.867,1.587,1.144,2.047,1.587,2.464,1.61,2.408,1.699,1.481,1.037,35.5
N.fr_NC_4320,N.fr,0.384,1.088,2.061,2.335,2.542,1.067,0.722,0.517,1.355,1.013,1.554,1.595,1.968,1.481,2.077,1.538,1.496,0.813,35.5
N.fr_NC_4330,N.fr,0.172,0.877,1.748,1.844,2.133,0.83,0.513,0.337,1.181,0.8,1.421,1.346,1.935,1.185,2.056,1.175,1.297,0.678,35.5
N.fr_NC_4334,N.fr,0.171,0.875,1.744,1.84,2.128,0.828,0.536,0.36,1.22,0.867,1.516,1.373,1.906,1.186,1.993,1.207,1.243,0.792,35.5
N.fr_NC_4339,N.fr,0.41,0.973,2.028,1.999,2.12,0.93,0.695,0.642,1.111,0.91,1.732,1.211,1.803,1.325,1.861,1.337,1.28,1.084,35.5
N.he_FL_1,N.he,0,0,3.446,3.41,3.206,1.127,0,0,0,0,2.768,1.525,2.963,1.337,2.758,1.153,1.495,0.692,29
N.he_FL_11,N.he,0,0,1.415,2.037,2.651,0.774,0,0,0,0,2.324,0.723,2.744,0.817,3.035,1.044,1.569,0.461,29
N.he_FL_12,N.he,0,0.419,1.31,1.975,2.778,1.313,0,0,0.883,0.464,1.777,0.839,2.658,0.866,3.446,0.965,2.291,0.577,29
N.he_FL_13,N.he,0,0,2.814,2.885,3.373,1.323,0,0,0,0,2.471,1.404,2.757,1.192,3.147,1.338,2.117,0.758,29
N.he_FL_15,N.he,0,0.397,2.193,2.241,2.221,0.484,0,0,0.909,0.458,2.444,1.19,2.431,1.069,2.453,1,0.994,0.629,29
N.he_FL_2,N.he,0,0,2.708,2.796,2.704,0.857,0,0,0,0,2.511,1.165,2.929,1.218,3.157,1.056,1.364,0.695,29
N.he_FL_3,N.he,0,0,2.822,2.615,2.812,0.579,0,0,0,0,2.975,1.294,2.675,1.198,3.036,1.2,1.049,0.615,29
N.he_FL_5,N.he,0,0,3.309,3.515,3.856,1.483,0,0,0,0,2.881,1.395,3.169,1.442,3.16,1.481,1.981,0.925,29
N.he_FL_7,N.he,0,0,3.125,3.286,3.358,1.436,0,0,0,0,2.853,1.204,2.792,1.291,2.995,1.236,1.781,0.847,29
N.he_FL_8,N.he,0,0,2.231,2.646,2.973,0.964,0,0,0,0,2.579,1.081,3.011,0.994,3.134,0.869,1.685,0.721,29
N.he_FL_9,N.he,0,0.337,3.454,3.205,3.205,1.574,0,0,0.856,0.455,2.986,1.354,3.086,1.359,3.054,1.34,1.997,1.017,29
N.he_GA_32,N.he,0,0,1.799,2.137,2.473,0.766,0,0,0,0,2.043,1.182,2.611,1.125,2.535,1.018,1.444,0.593,32.5
N.he_GA_33,N.he,0,0,1.854,2.235,2.499,0.807,0,0,0,0,2.614,0.835,2.327,1.108,2.376,1.226,1.65,0.441,32.5
N.he_GA_35,N.he,0,0,1.869,2.242,2.267,0.657,0,0,0,0,2.481,0.852,2.541,1.05,2.649,0.926,1.52,0.357,32.5
N.he_MS_16,N.he,0,0.32,2.155,2.287,2.807,1.219,0,0,0.882,0.481,2.308,1.08,2.396,1.344,2.685,1.232,2.083,0.695,32.5
N.he_MS_18,N.he,0,0.387,1.934,1.527,2.583,0.517,0,0,0.926,0.437,1.302,1.379,2.32,0.928,2.56,1,0.827,0.577,32.5
N.he_MS_22,N.he,0,0,1.565,1.723,1.928,0.654,0,0,0,0,2.074,0.78,2.28,0.771,2.6,0.844,1.834,0.378,32.5
N.he_MS_23,N.he,0,0.809,3.153,4.083,4.754,1.365,0,0,1.354,0.937,2.056,1.817,2.777,1.896,3.093,1.859,2.229,0.947,32.5
N.he_MS_25,N.he,0,1.28,3.69,3.904,4.727,1.672,0,0,1.698,1.03,2.844,1.383,2.986,1.488,3.16,1.836,1.894,1.177,32.5
N.he_MS_26,N.he,0,0.515,1.862,2.631,3.007,0.887,0,0,0.89,0.741,1.991,1.289,2.316,1.343,2.592,1.157,1.267,0.745,32.5
N.he_NJ_54,N.he,0,0.432,1.815,2.227,2.507,0.935,0,0,1.316,0.548,1.866,1.114,2.113,1.157,2.397,1.015,1.456,0.674,40
N.he_NJ_56,N.he,0,0.329,2.362,2.287,2.602,1.321,0,0,0.755,0.448,2.531,1.111,1.937,1.335,2.403,1.312,1.828,0.913,40
